popid,pop
1359,89
1360,0
1361,153
1362,76
1363,144
1364,62
1365,115
1366,122
1367,20
1368,14
1369,82
1370,104
1371,128
1372,5
1373,160
1374,51
1375,79
1376,50
1377,86
1378,64
1379,40
1380,60
1381,48
1382,40
1383,60
1384,57
1385,42
1386,30
1387,54
1388,52
1389,38
1390,62
1391,226
1392,16
1393,52
1394,77
1395,22
1396,58
1397,61
1398,71
1399,72
1400,98
1401,16
1402,88
1403,101
1404,85
1405,85
1406,28
1407,68
1408,120
1409,76
1410,73
1411,14
1412,7
1413,0
1414,40
1415,106
1416,0
1417,94
1418,76
1419,32
1420,0
1421,98
1422,18
1423,8
1424,53
1425,26
1426,144
1427,90
1428,140
1429,81
1430,74
1431,102
1432,191
1433,21
1434,54
1435,53
1436,173
1437,38
1438,31
1439,44
1440,41
1441,255
1442,166
1443,66
1444,0
1445,131
1446,29
1447,75
1448,121
1449,208
1450,0
1451,90
1452,102
1453,251
1454,0
1455,49
1456,315
1457,33
1458,32
1459,133
1460,152
1461,108
1462,39
1463,36
1464,44
1465,26
1466,53
1467,15
1468,29
1469,54
1470,43
1471,53
1472,52
1473,32
1474,26
1475,29
1476,21
1477,0
1478,59
1479,133
1480,99
1481,0
1482,0
1483,22
1484,204
1485,68
1486,96
1487,95
1488,41
1489,18
1490,41
1491,149
1492,100
1493,30
1494,28
1495,127
1496,36
1497,60
1498,109
1499,113
1500,215
1501,58
1502,55
1503,0
1504,104
1505,157
1506,43
1507,156
1508,68
1509,26
1510,231
1511,9
1512,18
1513,0
1514,28
1515,118
1516,198
1517,74
1518,0
1519,9
1520,34
1521,250
1522,190
1523,242
1524,21
1525,0
1526,0
1527,194
1528,88
1529,149
1530,0
1531,80
1532,65
1533,16
1534,71
1535,81
1536,15
1537,62
1538,245
1539,7
1540,629
1541,5
1542,62
1543,92
1544,170
1545,61
1546,0
1547,0
1548,2
1549,63
1550,19
1551,64
1552,167
1553,17
1554,61
1555,161
1556,77
1557,55
1558,205
1559,77
1560,70
1561,90
1562,139
1563,41
1564,169
1565,204
1566,558
1567,639
1568,464
1569,78
1570,0
1571,0
1572,264
1573,0
1574,216
1575,823
1576,717
1577,253
1578,268
1579,455
1580,188
1581,2
1582,0
1583,402
1584,257
1585,496
1586,0
1587,27
1588,106
1589,0
1590,827
1591,323
1592,0
1593,895
1594,29
1595,545
1596,0
1597,0
1598,251
1599,468
1600,461
1601,221
1602,207
1603,148
1604,44
1605,978
1606,652
1607,0
1608,300
1609,3
1610,0
1611,0
1612,236
1613,208
1614,161
1615,0
1616,442
1617,317
1618,177
1619,0
1620,18
1621,119
1622,171
1623,227
1624,451
1625,0
1626,0
1627,0
1628,0
1629,0
1630,12
1631,472
1632,570
1633,3
1634,403
1635,0
1636,752
1637,0
1638,277
1639,251
1640,510
1641,349
1642,0
1643,115
1644,94
1645,49
1646,93
1647,53
1648,75
1649,95
1650,63
1651,113
1652,6
1653,157
1654,34
1655,81
1656,199
1657,36
1658,46
1659,40
1660,42
1661,60
1662,47
1663,117
1664,60
1665,158
1666,94
1667,17
1668,109
1669,66
1670,107
1671,0
1672,21
1673,41
1674,41
1675,47
1676,49
1677,62
1678,41
1679,99
1680,69
1681,128
1682,28
1683,68
1684,125
1685,103
1686,18
1687,113
1688,0
1689,69
1690,60
1691,57
1692,25
1693,76
1694,70
1695,111
1696,69
1697,89
1698,0
1699,80
1700,101
1701,97
1702,32
1703,111
1704,0
1705,21
1706,35
1707,32
1708,77
1709,0
1710,45
1711,0
1712,33
1713,26
1714,50
1715,90
1716,62
1717,28
1718,18
1719,36
1720,94
1721,32
1722,58
1723,38
1724,48
1725,48
1726,53
1727,46
1728,33
1729,102
1730,30
1731,60
1732,39
1733,42
1734,28
1735,21
1736,60
1737,45
1738,9
1739,16
1740,54
1741,27
1742,77
1743,38
1744,53
1745,52
1746,28
1747,17
1748,82
1749,55
1750,55
1751,49
1752,58
1753,100
1754,13
1755,49
1756,17
1757,61
1758,20
1759,59
1760,80
1761,10
1762,73
1763,53
1764,73
1765,84
1766,53
1767,29
1768,0
1769,80
1770,0
1771,74
1772,139
1773,90
1774,111
1775,61
1776,74
1777,62
1778,47
1779,10
1780,166
1781,12
1782,120
1783,67
1784,24
1785,120
1786,33
1787,136
1788,125
1789,98
1790,0
1791,146
1792,0
1793,9
1794,2
1795,32
1796,225
1797,109
1798,0
1799,38
1800,0
1801,57
1802,104
1803,46
1804,40
1805,58
1806,75
1807,30
1808,170
1809,191
1810,241
1811,0
1812,13
1813,54
1814,289
1815,232
1816,0
1817,236
1818,227
1819,371
1820,275
1821,259
1822,217
1823,336
1824,33
1825,0
1826,280
1827,87
1828,294
1829,65
1830,0
1831,213
1832,76
1833,8
1834,51
1835,173
1836,212
1837,261
1838,216
1839,147
1840,324
1841,41
1842,263
1843,856
1844,142
1845,288
1846,328
1847,241
1848,216
1849,0
1850,11
1851,13
1852,0
1853,783
1854,101
1855,59
1856,0
1857,8
1858,2
1859,23
1860,0
1861,445
1862,157
1863,209
1864,88
1865,152
1866,314
1867,305
1868,279
1869,365
1870,0
1871,0
1872,0
1873,0
1874,0
1875,0
1876,1
1877,723
1878,111
1879,599
1880,0
1881,644
1882,236
1883,123
1884,84
1885,177
1886,593
1887,53
1888,10
1889,198
1890,225
1891,272
1892,228
1893,439
1894,389
1895,629
