docid,doc
20144,20
20178,2
20216,2
20221,2
20234,1
20243,2
20244,3
20260,1
20284,1
20287,2
20323,3
20598,1
20760,1
20780,1
20791,1
20799,1
20800,4
20816,1
20827,2
20830,1
20874,1
21024,1
21037,2
21157,1
21168,1
21169,2
21170,2
21176,1
21183,1
21196,1
21203,1
21241,1
21268,1
21286,3
21325,5
21396,1
21506,1
21759,1
21778,3
21883,1
22109,6
22110,1
22121,10
22122,3
22320,1
22341,7
22342,3
22371,21
22414,8
22507,1
22508,3
22547,1
22560,1
22561,1
22600,1
22669,44
22671,3
22674,22
22675,1
22739,1
22771,1
22772,1
23552,1
23554,1
23708,1
23718,1
24016,3
24018,2
24033,5
24133,3
24134,2
24272,1
24336,2
24407,6
24554,1
24623,4
24672,4
24756,1
24936,2
24960,2
24962,2
25043,2
25049,1
25055,1
25068,2
25083,4
25094,1
26376,2
26523,1
26581,2
26582,3
26637,1
26987,1
27110,1
27154,1
27156,1
27188,5
27216,3
27237,2
27239,1
27265,1
27269,1
27295,1
27296,3
27337,3
27359,2
27361,1
27378,2
27391,1
27394,2
27416,3
27417,3
27430,4
27469,3
27470,1
27471,5
27493,2
27640,1
27678,2
27726,3
27752,1
27813,2
27880,1
27893,2
27922,2
28175,1
28179,4
28202,3
28203,1
28209,1
28251,2
28260,1
28262,4
28283,3
28289,1
28484,1
28595,1
28647,1
28843,3
28861,3
28876,2
29028,2
29050,1
29088,2
29287,2
29439,2
29515,1
29539,6
29562,1
29594,1
29603,1
29726,14
29733,1
29734,2
29737,1
29838,3
29856,4
29873,1
29939,1
30011,1
30104,1
30254,2
30380,1
30472,5
30654,1
30741,1
30746,1
30749,3
30784,3
30806,1
30808,1
30825,1
30828,1
30873,3
30876,1
30915,4
30958,2
30990,11
31025,2
31119,1
31127,3
31136,1
31162,2
31255,1
31351,1
31384,3
31500,1
31501,1
31555,1
31723,26
31724,7
31792,1
32278,1
32537,1
32610,1
32976,27
32977,6
32987,1
33022,3
33064,2
33247,4
33397,2
33439,1
33602,1
33813,3
33915,1
33998,2
34098,3
34217,1
34249,4
34356,4
34517,2
34536,1
34565,1
34627,2
34632,1
34634,3
34635,4
34894,2
34897,5
34920,1
34937,1
35125,3
35128,1
35238,2
35322,2
35324,1
35553,1
35579,2
35599,1
35725,1
35769,1
35955,1
35958,3
35969,1
35975,2
35993,1
36015,1
36021,1
36028,1
36079,1
36085,2
36108,1
36111,1
36112,1
36142,1
36157,1
36158,2
36179,37
36186,1
36194,1
36275,1
36276,1
36351,1
36352,3
36386,9
36460,3
36747,1
36767,4
37212,1
37253,3
37268,5
37294,1
37333,1
37348,1
37372,6
37382,2
37425,1
37484,2
37542,3
37544,2
37661,2
37688,2
37699,1
37764,1
37799,2
37816,2
37829,1
37910,1
37923,4
38133,1
38144,4
38156,11
38163,1
38175,1
38262,6
38267,16
38272,1
38301,23
38312,1
38324,1
38325,2
38349,6
38358,1
38442,180
38474,2
38479,1
38693,1
38706,2
38848,3
38851,1
38882,1
38932,1
38945,2
39016,1
39023,1
39179,1
39180,2
39245,1
39338,1
39345,1
39349,3
39361,1
39408,1
39413,1
39437,1
39455,1
39457,1
39473,1
39527,2
39556,1
39560,2
39629,1
39669,1
39684,1
39697,1
39712,2
39720,1
39731,1
39776,1
39793,3
39794,5
39796,1
39806,3
39875,1
39885,3
39889,4
39908,1
39920,1
40023,3
40026,4
40032,3
40076,1
40086,2
40088,3
40115,1
40133,4
40151,1
40152,2
40180,2
40182,1
40209,1
40213,1
40214,2
40218,2
40272,1
40278,1
40286,1
40287,1
40315,2
40361,1
40375,4
40422,1
40467,1
40520,13
40556,1
40574,1
40575,1
40657,1
40658,2
40695,1
40705,1
40710,1
40749,2
40752,4
40754,1
40785,1
40792,2
40809,3
40821,1
40822,9
40833,1
40849,9
40857,8
40859,1
40861,2
40862,11
40871,12
40875,13
40876,2
40877,2
40889,15
40916,2
40921,2
40922,8
40965,7
40970,1
40971,5
41060,3
41061,1
41063,1
41071,13
41081,3
41094,1
41102,1
41106,1
41126,2
41132,1
41155,1
41157,2
41161,1
41171,1
41173,1
41201,2
41275,1
41280,1
41315,5
41317,1
41340,1
41361,1
41370,1
41449,2
41473,1
41477,1
41489,25
41490,29
41500,20
41502,46
41511,1
41519,1
41534,1
41556,3
41615,1
41629,1
41646,2
41651,1
41660,1
41665,1
41666,1
41668,1
41747,2
41748,4
41749,2
41750,1
41787,1
41793,5
41794,4
41805,7
41825,2
41840,1
41844,2
41897,1
41942,9
41956,1
41977,3
41995,33
41996,8
42016,1
42037,1
42043,1
42067,1
42094,13
42105,1
42152,3
42153,1
42155,12
42232,1
42305,1
42339,1
42352,1
42398,1
42448,1
42463,1
42473,2
42474,8
42500,2
42506,1
42507,1
42512,58
42515,21
42526,1
42535,5
42543,1
42552,1
42553,1
42581,1
42633,1
42639,2
42641,1
42644,14
42676,6
42702,1
42703,1
42704,3
42735,2
42741,1
42745,1
42773,1
42853,1
42876,1
42924,3
42947,1
42950,3
42957,3
42986,1
43005,6
43081,1
43098,3
43161,2
43263,1
43320,6
43340,7
43341,1
43344,2
43424,1
43439,1
43467,16
43497,1
43498,1
43562,1
43575,2
43595,2
43606,4
43611,7
43719,25
43720,1
43752,1
43754,1
43758,8
43761,2
43762,8
43766,2
43771,1
43774,23
43775,4
43776,11
43789,3
43790,4
43823,1
43870,2
43932,1
43933,19
43959,4
44041,2
44042,1
44064,2
44126,1
44204,2
44228,1
44238,4
44259,27
44315,2
44327,9
44328,8
44408,1
44432,4
44504,2
44514,1
44515,1
44522,2
44554,3
44557,1
44558,1
44570,1
44573,1
44657,10
44669,6
44684,1
44700,3
44703,1
44704,1
44773,2
44774,19
44781,36
44786,147
44817,1
44818,17
44888,1
44950,3
44960,4
44961,2
44962,10
44965,1
44968,1
44974,1
45000,1
45059,2
45099,3
45115,2
45131,1
45277,2
45350,2
45452,1
45526,2
45540,4
45541,2
45561,2
45564,7
45632,1
45647,3
45679,1
45713,2
45719,8
45721,2
45725,2
45782,5
45783,3
45787,1
45848,1
45860,8
45863,1
45880,3
45958,2
46031,3
46057,5
46061,1
46124,1
46164,1
46172,4
46244,1
46258,1
46303,2
46309,2
46334,3
46337,2
46442,1
46467,1
46513,2
46562,1
46564,2
46570,1
46645,1
46735,6
46797,1
46806,1
46815,15
46843,10
46854,1
46870,1
46880,1
46882,1
46883,1
46887,1
46930,1
46938,3
46960,1
46964,2
46967,2
46986,1
47060,2
47070,1
47116,1
47169,2
47248,3
47258,1
47295,1
47325,2
47351,1
47376,2
47517,1
47519,1
47521,1
47690,7
47825,7
47862,1
47868,2
47984,1
47993,1
48023,2
48024,6
48026,2
48028,1
48039,2
48041,2
48064,5
48082,3
48332,5
48360,1
48372,2
48403,1
48405,8
48414,2
48457,3
48467,1
48498,2
48501,2
48505,2
48511,6
48519,1
48527,1
48554,3
48579,1
48580,1
48596,7
48598,1
48605,4
48607,5
48617,2
48632,4
48633,4
48640,1
48643,11
48650,1
48657,1
48658,6
48659,6
48666,1
48670,32
48671,3
48678,8
48689,1
48690,1
48692,1
48719,1
48745,1
48797,1
48862,1
48927,1
48934,1
48970,1
48971,1
49028,5
49031,2
49059,10
49061,2
49065,1
49084,9
49087,1
49093,9
49115,1
49116,3
49132,4
49145,151
49146,8
49149,11
49164,2
49166,1
49169,1
49207,2
49209,25
49265,8
49290,14
49294,1
49311,7
49322,1
49327,2
49335,1
49363,1
49373,15
49468,1
49480,1
49505,2
49588,2
49620,1
49657,10
49658,2
49705,1
49707,4
49754,1
49791,2
49855,5
49939,1
49952,5
49965,1
50010,1
50016,2
50082,3
50151,3
50204,1
50249,2
50337,1
50344,3
50371,1
50372,16
50378,2
50381,1
50389,2
50413,1
50424,1
50427,1
50438,2
50440,1
50471,1
50489,3
50492,1
50503,2
50576,2
50613,7
50693,1
50718,4
50739,4
50797,6
50798,1
50803,1
50818,2
50820,2
50839,9
50846,9
50848,6
50869,12
50884,1
50887,2
50892,2
50900,15
50901,6
50917,23
50923,2
50930,2
50943,1
50975,4
51000,2
51003,2
51006,1
51024,6
51028,7
51073,1
51082,1
51097,1
51098,9
51099,2
51107,1
51154,1
51156,5
51166,6
51224,1
51294,2
51345,2
51455,1
51492,1
51500,2
51600,3
51620,2
51628,2
51674,1
51675,1
51690,1
51703,1
51708,37
51720,1
51729,1
51736,2
51739,2
51754,1
51763,3
51765,1
51773,8
51774,1
51829,13
51831,8
51858,2
51860,5
51862,1
51863,5
51899,4
51917,1
52046,1
52129,2
52131,2
52150,1
52179,2
52182,3
52184,5
52273,1
52276,1
52281,5
52286,10
52305,18
52306,5
52316,2
52317,2
52320,4
52321,1
52395,2
52397,1
52422,41
52423,12
52430,366
52436,1
52467,1
52483,3
52496,1
52507,1
52521,1
52539,11
52542,13
52543,1
52544,14
52549,15
52623,1
52624,7
52629,8
52630,4
52675,64
52692,1
52697,1
52712,11
52729,1
52732,11
52736,1
52738,4
52776,1
52783,19
52792,1
52796,9
52833,1
52869,2
52875,1
52927,2
52930,11
52981,39
53016,3
53079,1
53082,3
53085,6
53091,2
53094,2
53106,1
53130,1
53143,3
53149,6
53152,4
53161,1
53178,2
53262,2
53282,1
53326,1
53329,1
53332,2
53388,1
53391,1
53394,1
53556,1
53588,1
53589,116
53590,3
53592,11
53593,43
53656,1
53672,1
53699,1
53704,1
53735,1
53751,2
53754,2
53763,3
53765,3
53766,1
53773,8
53775,33
53776,34
53780,1
53784,3
53813,13
53814,33
53852,8
53891,1
53930,2
53967,4
53975,2
54040,1
54042,1
54064,1
54091,1
54094,1
54303,1
54311,3
54315,2
54363,1
54368,1
54458,2
54493,1
54502,1
54504,5
54531,1
54574,1
54617,1
54882,2
54984,1
55012,4
55014,1
55169,1
55170,1
55225,1
55250,3
55264,1
55271,1
55293,1
55319,4
55341,1
55371,3
55372,3
55393,1
55398,2
55399,1
55425,1
55432,7
55483,2
55511,7
55516,2
55534,1
55597,2
55600,1
55613,2
55619,3
55628,1
55654,1
55670,2
55680,2
55687,1
55688,1
55692,1
55693,2
55698,2
55706,2
55760,2
55781,2
55799,7
55830,1
55836,1
55846,5
55847,2
55920,4
55994,1
56020,1
56032,3
56055,2
56066,1
56094,3
56117,40
56221,1
56228,1
56268,1
56306,3
56307,2
56313,1
56354,4
56389,6
56427,375
56495,1
56543,1
56563,3
56618,1
56697,2
56802,1
56822,1
56939,73
56995,1
57044,5
57045,1
57049,9
57067,2
57078,17
57080,1
57085,7
57089,3
57090,14
57098,1
57109,7
57114,2
57134,1
57186,1
57289,1
57294,1
57295,12
57395,1
57438,1
57442,1
57454,1
57464,3
57615,2
57618,100
57629,1
57633,2
57644,1
57653,8
57725,2
57731,1
57745,2
57751,1
57757,1
57833,7
57839,1
57840,1
57852,1
57895,1
57918,2
57945,4
57946,1
57947,6
57948,1
57983,2
57986,1
57992,1
57995,1
58019,1
58089,1
58134,2
58241,1
58256,5
58377,3
58429,1
58434,1
58437,1
58525,1
58565,6
58587,6
58588,2
58589,6
58702,3
58704,6
58705,2
58706,8
58717,2
58733,2
58745,4
58746,1
59181,7
59182,2
59192,1
59197,83
59302,1
59304,1
59306,1
59337,2
59370,3
59398,3
59399,1
59424,3
59428,2
59435,1
59480,1
59685,2
59708,1
59849,2
59980,1
60033,1
60049,1
60050,2
60051,1
60052,2
60060,2
60076,1
60077,1
60096,1
60109,8
60111,3
60130,1
60143,1
60165,1
60166,24
60168,3
60190,4
60192,4
60216,4
60221,1
60230,4
60231,1
60246,1
60323,1
60368,3
60369,1
60370,4
60373,2
