geoid,doc
170312207011008,1
170312207012008,5
170312207013016,5
170312209021003,4
170312209022003,1
170312211002029,1
170312211003021,1
170312212002003,2
170312213001009,1
170312213002016,1
170312214003001,2
170312215001004,1
170312216001037,2
170312216002032,1
170312222002010,1
170312225001007,1
170312226001002,2
170312226001004,1
170312226001005,4
170312301001021,1
170312302001019,1
170312302001025,4
170312304002005,2
170312306001002,3
170312306006009,1
170312307002012,1
170312307004005,4
170312309001004,1
170312309003002,1
170312312003012,7
170312315004003,2
170312402001024,2
170312402001025,1
170312403001026,1
170312403001028,1
170312403001036,1
170312405001000,3
170312405001016,1
170312406001018,2
170312407001019,12
170312409001016,7
170312409001029,25
170312409001033,3
170312409001035,4
170312410002001,1
170312411001010,1
170312411001019,5
170312411001020,1
170312412001001,1
170312412001013,31
170312412002000,3
170312412002006,37
170312412002012,6
170312413001003,1
170312414001000,1
170312414002010,1
170312414003005,1
170312414004012,1
170312414004015,1
170312415001004,1
170312415001005,1
170312415003002,2
170312415003011,1
170312415003013,1
170312416001004,1
170312416002005,1
170312416002006,2
170312420002003,2
170312420002005,1
170312420002014,2
170312420002017,1
170312420003000,1
170312421002001,1
170312421003014,2
170312421003015,1
170312421003023,1
170312422001014,1
170312422002019,2
170312423001000,1
170312423002000,1
170312423002030,1
170312424001000,57
170312424001003,4
170312424002024,1
170312424002025,3
170312425001019,2
170312425002017,1
170312426001013,3
170312426001014,7
170312426002000,2
170312426003009,1
170312428001002,2
170312429001001,5
170312430001009,1
170312430002000,1
170312431001000,3
170312432001001,3
170312432001002,19
170312432001005,17
170312435002001,2
170312504002025,1
170312505002028,9
170312505003024,6
170312505004016,1
170312505006008,2
170312505007020,2
170312505007026,1
170312507005002,2
170312510001031,5
170312511001000,2
170312511003013,1
170312511003014,1
170312513002012,1
170312516003002,3
170312519003005,11
170312519004014,6
170312520002001,2
170312520002014,3
170312521024000,1
170312522012004,1
170312601001020,4
170312601001021,7
170312609002003,1
170312609002006,1
170312610002005,1
170312610002007,2
170312712001005,1
170312714001000,1
170312714001022,5
170312714001023,1
170312718001000,1
170312801001000,1
170312801001003,2
170312801001019,3
170312801002016,2
170312801002018,2
170312801002022,1
170312801002029,1
170312801002030,1
170312819001010,1
170312819001012,13
170312819001019,1
170312819001022,1
170312819001024,1
170312819002001,1
170312819003001,1
170312819003004,1
170312819003009,1
170312827002025,1
170312828001006,1
170312828001013,1
170312828001014,1
170312831001001,1
170312832001009,3
170312922003010,1
170312924002025,42
170313005002016,1
170313005002018,4
170313006002008,1
170313006002009,2
170313006002011,3
170313006002014,2
170313008002015,1
170313009002001,1
170313011001000,1
170313012001000,2
170313012001002,1
170313016001004,2
170313017011000,3
170313017011003,2
170313017011004,1
170313017011006,2
170313017013004,1
170313018012008,1
170313018021015,1
170313018022007,2
170313018022019,2
170313018023001,2
170313018023002,1
170313102002004,1
170313103001000,1
170313103001032,4
170313105001029,1
170313106002006,2
170313106002007,1
170313106003008,1
170313106003009,1
170313108001007,1
170313108001009,1
170313108001010,2
170313108002002,1
170313109001007,1
170313109002008,4
170313201001013,1
170313201001015,31
170313201001016,1
170313201001017,53
170313201001018,5
170313201001019,53
170313201002012,3
170313201002016,24
170313201002019,5
170313201002027,7
170313201002028,17
170313201002029,6
