id,geoid
311,170310106002006
312,170310106002007
313,170310106002008
314,170310106003000
315,170310106003001
316,170310106003002
317,170310106003003
318,170310106003004
319,170310106003005
320,170310106003006
321,170310106003007
322,170310106003008
323,170310106003009
324,170310106003010
325,170310106003011
326,170310106003012
327,170310106004000
328,170310106004001
329,170310106004002
330,170310106004003
331,170310106004004
332,170310106004005
333,170310106004006
334,170310106004007
335,170310106004008
336,170310106004009
337,170310106004010
338,170310106004011
339,170310106004012
340,170310106004013
341,170310106004014
342,170310107011000
343,170310107011001
344,170310107011002
345,170310107011003
346,170310107011004
347,170310107011005
348,170310107011006
349,170310107011007
350,170310107011008
351,170310107011009
352,170310107011010
353,170310107011011
354,170310107011012
355,170310107011013
356,170310107011014
357,170310107011015
358,170310107011016
359,170310107011017
360,170310107012000
361,170310107012001
362,170310107012002
363,170310107012003
364,170310107012004
365,170310107012005
366,170310107012006
367,170310107012007
368,170310107012008
369,170310107012009
370,170310107012010
371,170310107012011
372,170310107012012
373,170310107012013
374,170310107012014
375,170310107012015
376,170310107012016
377,170310107012017
378,170310107012018
379,170310107021000
380,170310107021001
381,170310107021002
382,170310107021003
383,170310107021004
384,170310107021005
385,170310107021006
386,170310107021007
387,170310107021008
388,170310107021009
389,170310107021010
390,170310107021011
391,170310107021012
392,170310107022000
393,170310107022001
394,170310107022002
395,170310107022003
396,170310107022004
397,170310107022005
398,170310107022006
399,170310107022007
400,170310107022008
401,170310107022009
402,170310107023000
403,170310107023001
404,170310107023002
405,170310107023003
406,170310107023004
407,170310107023005
408,170310107023006
409,170310107023007
410,170310107023008
411,170310107023009
412,170310107024000
413,170310107024001
414,170310107024002
415,170310107024003
416,170310107024004
417,170310107024005
418,170310201001000
419,170310201001001
420,170310201001002
421,170310201001003
422,170310201001004
423,170310201001005
424,170310201001006
425,170310201001007
426,170310201001008
427,170310201001009
428,170310201001010
429,170310201001011
430,170310201001012
431,170310201001013
432,170310201001014
433,170310201001015
434,170310201001016
435,170310201001017
436,170310201001018
437,170310201001019
438,170310201001020
439,170310201001021
440,170310201001022
441,170310201001023
442,170310201001024
443,170310201001025
444,170310201002000
445,170310201002001
446,170310201002002
447,170310201002003
448,170310201002004
449,170310201002005
450,170310201002006
451,170310201002007
452,170310201002008
453,170310202001000
454,170310202001001
455,170310202001002
456,170310202001003
457,170310202001004
458,170310202001005
459,170310202001006
460,170310202001007
461,170310202001008
462,170310202001009
463,170310202001010
464,170310202001011
465,170310202001012
466,170310202001013
467,170310202001014
468,170310202001015
469,170310202001016
470,170310202001017
471,170310202001018
472,170310202001019
473,170310202001020
474,170310202001021
475,170310202002000
476,170310202002001
477,170310202002002
478,170310202002003
479,170310202002004
480,170310202002005
481,170310202002006
482,170310202002007
483,170310202002008
484,170310202002009
485,170310202002010
486,170310202002011
487,170310202002012
488,170310202002013
489,170310202002014
490,170310202003000
491,170310202003001
492,170310202003002
493,170310202003003
494,170310202003004
495,170310202003005
496,170310202003006
497,170310202003007
498,170310202003008
499,170310202003009
500,170310202003010
501,170310202003011
502,170310202003012
503,170310202003013
504,170310202003014
505,170310202003015
506,170310202003016
507,170310202003017
508,170310202003018
509,170310202003019
510,170310202003020
511,170310202003021
512,170310202003022
513,170310202003023
514,170310202003024
515,170310202003025
516,170310202003026
517,170310202003027
518,170310202003028
519,170310202003029
520,170310202003030
521,170310202003031
522,170310202003032
523,170310202003033
524,170310202003034
525,170310202003035
526,170310202003036
527,170310202003037
528,170310202003038
529,170310202003039
530,170310202004000
531,170310202004001
532,170310202004002
533,170310202004003
534,170310202004004
535,170310202004005
536,170310202004006
537,170310202004007
538,170310202004008
539,170310202004009
540,170310202004010
541,170310202004011
542,170310202004012
543,170310202004013
544,170310202004014
545,170310202004015
546,170310202004016
547,170310202004017
548,170310202004018
549,170310202004019
550,170310202004020
551,170310202004021
552,170310202004022
553,170310202004023
554,170310202004024
555,170310202004025
556,170310202004026
557,170310202004027
558,170310202004028
559,170310202004029
560,170310202004030
561,170310202004031
562,170310202004032
563,170310202004033
564,170310202004034
565,170310202004035
566,170310202004036
